무게,단가,날짜
1529466,1630.142857,2011-10-10
1537470,2548.714286,2011-10-11
133530,2264.285714,2011-10-12
0,0,2011-10-13
14760,372.7142857,2011-10-14
6636,345.7142857,2011-10-15
0,0,2011-10-16
146364,5019.285714,2011-10-17
105318,4936.857143,2011-10-18
537516,4877,2011-10-19
173304,3271,2011-10-20
543750,2660,2011-10-21
694134,2504.285714,2011-10-22
772092,2210.142857,2011-10-23
1010934,2192.142857,2011-10-24
2051088,2410.571429,2011-10-25
1862646,3281.857143,2011-10-26
277680,3066.142857,2011-10-27
1282416,2644.714286,2011-10-28
1379656,3096.428571,2011-10-29
754224,3857.857143,2011-10-30
726738,2756.857143,2011-10-31
764424,3092.571429,2011-11-01
314424,3655.428571,2011-11-02
447678,3160.857143,2011-11-03
362988,3129.285714,2011-11-04
381888,2930.285714,2011-11-05
323766,2739.285714,2011-11-06
338220,3002.142857,2011-11-07
1034928,4206.857143,2011-11-08
932256,3566.714286,2011-11-09
0,0,2011-11-10
125244,2965.857143,2011-11-11
1962,532.5714286,2011-11-12
0,0,2011-11-13
1878,183.5714286,2011-11-14
6663,262.8571429,2011-11-15
1358874,3230.285714,2011-11-16
1762398,2483.857143,2011-11-17
325302,3346.285714,2011-11-18
266058,3194.142857,2011-11-19
307944,4150.428571,2011-11-20
27126,4601.571429,2011-11-21
248544,4791,2011-11-22
157050,4894.142857,2011-11-23
342342,4951.142857,2011-11-24
166230,4425.714286,2011-11-25
1935861,2848.428571,2011-11-26
990552,3188.714286,2011-11-27
872942,4443.428571,2011-11-28
1093806,4204.857143,2011-11-29
1213722,4711.571429,2011-11-30
382488,4086.714286,2011-12-01
58860,2981.428571,2011-12-02
18252,2937.571429,2011-12-03
0,0,2011-12-04
1147026,4374.285714,2011-12-05
1780464,4637.857143,2011-12-06
1745574,4088.714286,2011-12-07
1420953,5334.857143,2011-12-08
1722432,2707.571429,2011-12-09
891660,3246.428571,2011-12-10
0,0,2011-12-11
150318,350.7142857,2011-12-12
0,0,2011-12-13
0,0,2011-12-14
2684328,2783.285714,2011-12-15
1676688,4568.714286,2011-12-16
1883520,3150.285714,2011-12-17
673296,2181.714286,2011-12-18
1553952,4416.428571,2011-12-19
437688,4122.428571,2011-12-20
1498212,3605.857143,2011-12-21
1297068,3584.428571,2011-12-22
1660164,3680.285714,2011-12-23
1391550,2588.285714,2011-12-24
1986566,2929.428571,2011-12-25
1314702,3318.285714,2011-12-26
1154646,2481.857143,2011-12-27
974196,3384,2011-12-28
961884,3091,2011-12-29
382896,3555,2011-12-30
313374,2844.857143,2011-12-31
0,0,2012-01-01
1063782,4530,2012-01-02
1491288,2793.428571,2012-01-03
1613946,4344.285714,2012-01-04
1411980,3497,2012-01-05
970800,2797.285714,2012-01-06
1539888,4318.714286,2012-01-07
0,0,2012-01-08
0,0,2012-01-09
1282542,4159,2012-01-10
0,0,2012-01-11
0,0,2012-01-12
1179636,2117.285714,2012-01-13
457398,2929.857143,2012-01-14
838926,3048.285714,2012-01-15
989046,2675.714286,2012-01-16
269418,2212.571429,2012-01-17
501120,2928.285714,2012-01-18
335700,2976.714286,2012-01-19
655794,3246.571429,2012-01-20
56646,2458.285714,2012-01-21
0,0,2012-01-22
0,0,2012-01-23
0,0,2012-01-24
0,0,2012-01-25
0,0,2012-01-26
414,674.5714286,2012-01-27
331614,2991.857143,2012-01-28
0,0,2012-01-29
1141452,2740,2012-01-30
1243440,2504.857143,2012-01-31
780972,2361.142857,2012-02-01
230382,2914.285714,2012-02-02
30870,2774.428571,2012-02-03
116316,3396.142857,2012-02-04
0,0,2012-02-05
1357302,2798,2012-02-06
202428,2504.857143,2012-02-07
36,39.71428571,2012-02-08
0,0,2012-02-09
0,0,2012-02-10
0,0,2012-02-11
0,0,2012-02-12
962802,4167.428571,2012-02-13
322290,4218.142857,2012-02-14
465264,3721.571429,2012-02-15
683874,4529.857143,2012-02-16
307476,4697.428571,2012-02-17
372888,3233.714286,2012-02-18
0,0,2012-02-19
183330,2808.428571,2012-02-20
173538,4598.857143,2012-02-21
558468,3347,2012-02-22
292284,4746.285714,2012-02-23
451440,4507.285714,2012-02-24
615330,4344.142857,2012-02-25
0,0,2012-02-26
478422,3413.428571,2012-02-27
703350,3253.142857,2012-02-28
775530,2517,2012-02-29
576450,3504.714286,2012-03-01
953298,2834.571429,2012-03-02
1471302,3852,2012-03-03
0,0,2012-03-04
1388676,3315,2012-03-05
143208,4278.428571,2012-03-06
17550,5868.857143,2012-03-07
1044,158.7142857,2012-03-08
0,0,2012-03-09
15480,2009.714286,2012-03-10
0,0,2012-03-11
0,0,2012-03-12
75888,786.1428571,2012-03-13
58590,3999.428571,2012-03-14
408402,5002.142857,2012-03-15
701820,2826.142857,2012-03-16
547128,3155,2012-03-17
0,0,2012-03-18
395370,4593.714286,2012-03-19
223848,4327.142857,2012-03-20
115488,3819.714286,2012-03-21
174762,4282.285714,2012-03-22
456660,3711.857143,2012-03-23
320778,3777.857143,2012-03-24
0,0,2012-03-25
115848,2597.857143,2012-03-26
258084,4767.714286,2012-03-27
430488,5095.285714,2012-03-28
558198,3919.428571,2012-03-29
650844,3240.857143,2012-03-30
373680,2851.428571,2012-03-31
0,0,2012-04-01
178470,3310.142857,2012-04-02
332190,4066.428571,2012-04-03
77598,4423.714286,2012-04-04
0,0,2012-04-05
40032,106.4285714,2012-04-06
0,0,2012-04-07
0,0,2012-04-08
19602,198.4285714,2012-04-09
162,269.8571429,2012-04-10
0,0,2012-04-11
0,0,2012-04-12
48852,239.4285714,2012-04-13
43065,4021.285714,2012-04-14
0,0,2012-04-15
160986,2829.428571,2012-04-16
129297,3425,2012-04-17
90342,3220.857143,2012-04-18
122559,3717.428571,2012-04-19
0,0,2012-04-20
0,0,2012-04-21
0,0,2012-04-22
0,0,2012-04-23
76227,4372.285714,2012-04-24
0,0,2012-04-25
0,0,2012-04-26
0,0,2012-04-27
900,388.8571429,2012-04-28
0,0,2012-04-29
69615,3614.857143,2012-04-30
0,0,2012-05-01
0,0,2012-05-02
2664,551.7142857,2012-05-03
1260,158.7142857,2012-05-04
0,0,2012-05-05
0,0,2012-05-06
8892,199.5714286,2012-05-07
0,0,2012-05-08
594,119,2012-05-09
0,0,2012-05-10
169722,3095.428571,2012-05-11
98010,3689.857143,2012-05-12
0,0,2012-05-13
195144,3116.714286,2012-05-14
167034,3082.857143,2012-05-15
223200,3566.285714,2012-05-16
338937,4120,2012-05-17
301014,3357.428571,2012-05-18
0,0,2012-05-19
0,0,2012-05-20
116838,3744.142857,2012-05-21
126756,4044.142857,2012-05-22
328050,2480.285714,2012-05-23
279936,2420.142857,2012-05-24
174186,2572,2012-05-25
170376,2628.857143,2012-05-26
